"id","catagory","hasImage","question","answerA","answerB","answerC","answerD","correctAnswer"
"1","11","1","What does this sign mean?","Stop, for school crossing ahead.","Stop your vehicle.","Other traffic must give way to you.","Give way to traffic coming from your right.","B"
"2","11","1","What must a driver do when this sign is accompanied by a white stop line on the road?","Stop at the line.","When you have passed the line.","Only if there is traffic on the major road.","No more than one car length past the line.","A"
"3","11","1","What must a driver do when this sign is NOT accompanied by a white stop line on the road?","No more than one car length past the sign.","Stop at the sign.","Only if there is traffic at the junction.","Only when having passed the sign.","B"
"4","11","1","What does this sign mean at a junction?","Yield to all heavy goods vehicles.","Slow down and stop for pedestrians.","Yield to traffic on the major road.","Yield to traffic coming from your right.","C"
"5","11","1","What does this sign mean at a roundabout?","Yield to traffic on the major road.","Yield to traffic coming from the right.","Yield to trucks and buses only.","All vehicles, except motorcycles, must yield.","B"
"6","11","1","What does this sign mean?","Straight ahead only.","Overtaking lane ahead.","Parking permitted from this point on.","One way street ahead.","A"
"7","11","1","What does this sign mean?","Motorway to the left.","Diversion ahead to the left.","Traffic from the right has priority.","Turn Left Only.","D"
"8","11","1","What does this sign mean?","Overtake only on the right","Diversion ahead to the right.","Turn right only.","Major road joining from the left.","C"
"9","11","1","What does this sign mean?","Diversion to the left ahead.","Turn left ahead.","One-way traffic to the left.","Parking area to the left ahead.","B"
"10","11","1","What does this sign mean?","Turn right ahead.","Diversion to the right ahead.","One-way traffic to the right ahead.","Sharp bend ahead.","A"
"11","11","1","What does this sign mean?","Sharp bend to the left ahead.","Steep decline ahead to the left.","Keep Left.","Roundabout ahead.","C"
"12","11","1","What does this sign mean?","Turn back.","Steep decline ahead to the right.","Keep right.","Traffic crossing from the left.","C"
"13","11","1","What does this sign mean?","One-way street.","Two way traffic ahead.","Pass either side.","Dual-carriageway ahead.","C"
"14","11","1","What does this sign mean?","Cul-de-sac ahead.","No hard shoulder ahead.","No entry.","Parking not allowed ahead.","C"
"15","11","1","What does this sign mean?","No right turn.","Yield to other traffic when turning right.","Turn right if there is no oncoming traffic.","No hard shoulder to the right.","A"
"16","11","1","What does this sign mean?","Roundabout ahead with no left exit.","Cul-de-sac to the left.","No hard shoulder to the left.","No left turn.","D"
"17","11","1","What does this sign mean?","U-turn not permitted.","Reversing not permitted.","Slippery road ahead.","Two-way traffic prohibited.","A"
"18","11","1","What does this sign mean?","Maximum speed is 30 km/h.","Parking not allowed for more than 30 minutes.","Distance to junction is 30 meters.","Motorway continues for 30 kilometers.","A"
"19","11","1","What does this sign mean?","Motorway continues for 50 kilometers.","Minimum distance between vehicles is 50 meters.","Minimum speed is 50 km/h.","Maximum speed is 50 km/h.","D"
"20","11","1","What does this sign mean?","Parking not allowed for more than 60 minutes.","Distance to junction is 60 meters.","Height restriction is 60 meters.","Maximum speed is 60 km/h.","D"
"21","11","1","What does this sign mean?","Maximum speed is 80km/h.","80 meters to start of motorway.","Maximum permitted weight is 80 tonnes.","80 meters to end of motorway.","A"
"22","11","1","What does this sign mean?","Maximum speed is 100 km/h.","Clearway ahead at 100 meters.","Motorway continues for 100 Kilometers.","Minimum speed is 100 km/h.","A"
"23","11","1","What does this sign mean?","Motorway exit ahead at 120 meters.","Traffic merging at 120 meters ahead.","Motorway continues for 120 Kilometers.","Maximum speed is 120 km/h.","D"
"24","11","1","What does these signs together mean?","Parking permitted at times shown.","Parking prohibited at times shown.","Parking reserved for people with disabilities.","Maximum parking for 1 hour during times shown.","A"
"25","11","1","What does this sign mean?","Public service vehicles prohibited.","Parking prohibited.","Private vehicles prohibited.","Parking permitted.","B"
"26","11","1","What does these signs together mean?","Clearway - no stopping or parking during the times shown.","Crossroads ahead with roads of equal importance.","Road closed during the times shown.","Pedestrianised street - no access for vehicles.","A"
"27","11","1","What does this sign mean?","Disc parking operates during the times shown.","Parking is prohibited during the hours shown.","Parking is allowed during the hours shown.","Disc parking operates except during the hours shown.","A"
"28","11","1","What does this sign mean?","Appointed rank for taxis.","You may park when the rank is empty.","You may pick up or set down passengers.","Only taxis may turn right or left ahead.","A"
"29","11","1","What does these signs together mean?","Bicycle race track.","Track reserved for motorcyclists.","Cyclists must dismount ahead.","Start of cycle track.","D"
"30","11","1","What does this sign mean?","Parking area for cyclists ahead.","Area reserved for children learning to ride bicycles.","Shared cycle/pedestrian track.","Cyclists must dismount and walk.","C"
"31","11","1","What does this sign mean?","Stop for school warden.","No access area for children.","Pedestrian crossing ahead.","No access. Pedestrianised street ahead.","A"
"32","11","1","What does these signs together mean?","Access for buses and taxis only during times shown.","Parking not allowed during times shown.","Pedestrianised street ahead - traffic not allowed except during times shown.","Roundabout ahead - no stopping or parking during times shown.","C"
"33","11","1","What does this sign mean?","Minimum permitted weight is 3 tonnes.","Maximum permitted weight is 3 tonnes.","3 axled vehicles not permitted.","Only 3 axled vehicles are permitted.","B"
"34","11","1","What does this sign mean?","Vehicles weight restriction is 10 tonnes.","Vehicles weighing more than 10 tonnes per axle not permitted.","Minimum permitted weight is 10 tonnes.","Vehicles exceeding 10 meters in length are not permitted.","A"
"35","11","1","What does this sign mean?","No entry to goods vehicles with five axles or more.","Racing track ahead.","Minimum permitted weight is 5 tonnes.","Car transporter unloading area.","A"
"36","11","1","What does this sign mean?","Maximum permitted height of vehicle is figure indicated.","Maximum permitted length of vehicle is figure indicated.","Vehicles exceeding length measurements must have reflective strips.","Maximum permitted weight of vehicle is figure indicated.","A"
"37","11","1","What does this sign mean?","Parking of vehicles exceeding the weight shown is not allowed.","Passing other traffic that exceeds the weight shown is prohibited.","Parking of vehicles under the weight shown is not allowed.","Parking in loading area is not allowed.","A"
"38","11","1","What does this sign mean?","Double parking not allowed.","No stopping/parking on the right.","No overtaking.","End of dual carriageway.","C"
"39","11","1","What does these signs together mean?","Only buses, cyclists and taxis are allowed to use the lane during the hours indicated.","Outside the times indicated, only buses and cyclist may use this lane.","Only cyclists and buses are allowed to use the lane during the hours indicated.","Only buses and cyclists may park during the times indicated.","A"
"40","11","1","What does this sign mean?","With-flow' bus lane ahead on your left.","Cyclist and buses must turn left.","Only buses and cyclist may park.","Only buses and cyclists may use the lane.","A"
"41","11","1","What does this sign mean?","Cyclist must give way to buses ahead.","Bus and cycle lane ahead on the right.","Buses must give way to cyclists ahead.","Buses must give way to other traffic ahead.","B"
"42","11","1","What does this sign mean?","With-flow' bus lane ahead on your left.","Cyclist and buses must turn left.","Only buses and cyclist may park.","Only buses and cyclists may use the lane.","B"
"43","11","1","What does this sign mean?","Cyclist must give way to buses ahead.","Bus and cycle lane ahead on the right.","Buses must give way to cyclists ahead.","Buses must give way to other traffic ahead.","B"
"44","11","1","What does this sign mean?","With-flow bus lane on the right.","Contra flow bus lane ahead.","Bus and cycle parking ahead.","Buses may block cyclists from your view.","A"
"45","11","1","What does this sign mean?","With-flow' bus lane on the right.","Bus and cycle parking ahead.","Contra-flow' bus lane ahead.","Cycle track may be crossed by buses.","C"
"46","11","1","What does this sign mean?","Access for buses only.","Tram lane on left.","Bus lane ahead offside.","With-flow bus lane ahead.","B"
"47","11","1","What does this sign mean?","Parking only inside the white line.","With-flow' bus lane ahead.","Fire station ahead.","Tram lane on right.","D"
"48","11","1","What does this sign mean?","Series of dangerous corners ahead.","Junction ahead with roads of lesser importance.","Junction ahead with roads or equal importance.","Junction ahead with roads of greater importance.","B"
"49","11","1","What does this sign mean?","You must stop at the junction ahead.","Main road bears to the right.","Main roads bears to the left.","Heavy vehicles must go left.","C"
"50","11","1","What does this sign mean?","Cul-de-sacs to both left and right.","Staggered crossroads ahead with roads of equal importance.","Roads closed ahead to both left and right.","Traffic-calming ramps ahead.","B"
"51","11","1","What does this sign mean?","T-junction ahead with roads of equal importance.","No entry.","Overhead electric cables ahead.","Flyover ahead.","A"
"52","11","1","What does this sign mean?","Railway crossing ahead.","Y-Junction ahead with roads of equal importance.","Major road ahead.","End of dual-carriageway.","B"
"53","11","1","What does this sign mean?","Major road ahead.","T-junction ahead with road of greater importance.","Road passing under a bridge ahead.","Flyover ahead.","A"
"54","11","1","What does this sign mean?","T-junction ahead with a road of major importance.","Cul-de sac to the right.","Junction ahead with a road of minor importance.","Toll-roads ahead.","A"
"55","11","1","What does this sign mean?","Two-way traffic ahead.","Level crossing ahead guarded by gates.","Unguarded level crossing ahead.","Crossroads with dual carriageway ahead.","D"
"56","11","1","What does this sign mean?","T-junction with dual-carriage way ahead.","Low bridge ahead.","Cul-de-sac ahead.","Speed ramps ahead.","A"
"57","11","1","What does this sign mean?","Junction ahead with road of minor importance.","Traffic from the left has priority.","Traffic merging from the left.","Road fencing in progress ahead.","C"
"58","11","1","What does this sign mean?","Road narrows briefly.","Clearway at junction ahead.","Traffic merging/diverging ahead.","Yield to merging/diverging traffic.","C"
"59","11","1","What does this sign mean?","Roundabout ahead.","U'-turn permitted ahead.","One-way street ahead.","U'-turn prohibited ahead.","A"
"60","11","1","What does this sign mean?","Dangerous bend ahead.","Junction to the left ahead.","One-way street ahead.","Dangerous corner ahead.","D"
"61","11","1","What does this sign mean?","No left turn.","Dangerous corner ahead.","Turn left.","Dangerous bend ahead.","D"
"62","11","1","What does this sign mean?","Series of dangerous corners ahead.","Overhead electric cables.","Temporary surface ahead, keep left.","Slippery road ahead.","A"
"63","11","1","What does this sign mean?","Diversion ahead.","Slippery road ahead.","Series of dangerous bends ahead.","Steep climb ahead.","C"
"64","11","1","What does this sign mean?","Road closed - you must turn back.","Traffic from the left has priority.","Series of speed ramps ahead.","Sharp change of direction ahead.","D"
"65","11","1","What does this sign mean?","Left-hand lane has an uneven surface.","You must overtake on the right only.","Merging traffic from the left.","Road narrows on the left.","D"
"66","11","1","What does this sign mean?","Road narrows on both sides.","Dual-carriageway ahead.","Railway crossing ahead.","Tunnel ahead.","A"
"67","11","1","What does this sign mean?","Lay-by ahead.","Road divides ahead.","Two lanes of oncoming traffic merge ahead.","Roundabout ahead.","B"
"68","11","1","What does this sign mean?","Tunnel ahead.","Dual-carriageway ends.","Oncoming traffic has priority.","Road narrows ahead.","B"
"69","11","1","What does this sign mean?","Dual-carriageway ahead.","Traffic may not stop.","One-way street.","Two-way traffic ahead.","D"
"70","11","1","What does this sign mean?","Uneven road surface to the right.","Sharp descent ahead.","Sharp climb ahead.","River or unprotected quay ahead.","B"
"71","11","1","What does this sign mean?","Sharp ascent ahead.","Uneven road surface to the left.","Only ascending traffic ahead.","Hump-backed bridge ahead.","A"
